Ano;Mês;Distrito;Concelho;Freguesia;Tipo de Lâmpada;Luminárias;Lâmpadas por Luminária;Lâmpadas;Potência Instalada Total (W);CodDistrito;CodDistritoConcelho;coddistritoconcelhofreguesia
2026;5;Vila Real;Chaves;Redondelo;LED;384.0;384.0;384.0;15353.0;17;1703;170324
2026;5;Vila Real;Chaves;Sanfins;LED;263.0;263.0;263.0;9611.0;17;1703;170327
2026;5;Vila Real;Chaves;Santa Leocádia;LED;345.0;345.0;345.0;10467.0;17;1703;170329
2026;5;Vila Real;Chaves;Santo António de Monforte;LED;237.0;237.0;237.0;10481.80016708374;17;1703;170330
2026;5;Vila Real;Chaves;Santo António de Monforte;Sódio;8.0;8.0;8.0;560.0;17;1703;170330
2026;5;Vila Real;Chaves;São Pedro de Agostém;LED;806.0;805.0;805.0;28304.20009613037;17;1703;170333
2026;5;Vila Real;Chaves;São Pedro de Agostém;Sódio;136.0;132.0;136.0;10600.0;17;1703;170333
2026;5;Vila Real;Chaves;Vale de Anta;Mercúrio;1.0;1.0;1.0;80.0;17;1703;170341
2026;5;Vila Real;Chaves;Vale de Anta;Outros/Não definido;9.0;9.0;9.0;90.0;17;1703;170341
2026;5;Vila Real;Chaves;Vale de Anta;Sódio;145.0;117.0;145.0;13710.0;17;1703;170341
2026;5;Vila Real;Chaves;Vilar de Nantes;LED;740.0;722.0;740.0;29968.0;17;1703;170344
2026;5;Vila Real;Chaves;Vilarelho da Raia;LED;400.0;400.0;400.0;11863.0;17;1703;170345
2026;5;Vila Real;Chaves;Vilela Seca;LED;157.0;157.0;157.0;4611.0;17;1703;170348
2026;5;Vila Real;Chaves;Vilela do Tâmega;Sódio;2.0;2.0;2.0;200.0;17;1703;170349
2026;5;Vila Real;Chaves;Planalto de Monforte (Oucidres e Bobadela);LED;253.0;253.0;253.0;8363.0;17;1703;170353
2026;5;Vila Real;Chaves;Planalto de Monforte (Oucidres e Bobadela);Outros/Não definido;10.0;10.0;10.0;;17;1703;170353
2026;5;Vila Real;Chaves;Eiras, São Julião de Montenegro e Cela;Sódio;19.0;19.0;19.0;1330.0;17;1703;170355
2026;5;Vila Real;Chaves;Calvão e Soutelinho da Raia;Sódio;114.0;114.0;114.0;7980.0;17;1703;170356
2026;5;Vila Real;Chaves;Travancas e Roriz;Outros/Não definido;4.0;4.0;4.0;135.0;17;1703;170360
2026;5;Vila Real;Chaves;Travancas e Roriz;Sódio;4.0;4.0;4.0;280.0;17;1703;170360
2026;5;Vila Real;Mesão Frio;Vila Marim;LED;614.0;614.0;614.0;19198.900115966797;17;1704;170407
2026;5;Vila Real;Mesão Frio;Vila Marim;Outros/Não definido;34.0;34.0;34.0;;17;1704;170407
2026;5;Vila Real;Mesão Frio;Vila Marim;Sódio;113.0;113.0;113.0;7910.0;17;1704;170407
2026;5;Vila Real;Montalegre;Montalegre e Padroso;Outros/Não definido;159.0;155.0;159.0;1595.0;17;1706;170638
2026;5;Vila Real;Santa Marta de Penaguião;Lobrigos (S. Miguel e S. João Baptista) e Sanhoane;LED;1328.0;1289.0;1299.0;50499.0;17;1711;171111
2026;5;Vila Real;Vila Pouca de Aguiar;Bornes de Aguiar;LED;1338.0;1338.0;1338.0;52460.69999694824;17;1713;171303
2026;5;Vila Real;Vila Pouca de Aguiar;Bornes de Aguiar;Sódio;187.0;187.0;187.0;13090.0;17;1713;171303
2026;5;Vila Real;Vila Pouca de Aguiar;Vila Pouca de Aguiar;Mercúrio;17.0;17.0;17.0;1030.0;17;1713;171314
2026;5;Vila Real;Vila Pouca de Aguiar;Sabroso de Aguiar;LED;551.0;546.0;551.0;24992.600006103516;17;1713;171317
2026;5;Vila Real;Vila Real;Folhadela;LED;258.0;255.0;258.0;12229.800003051758;17;1714;171409
2026;5;Vila Real;Vila Real;Lordelo;Outros/Não definido;124.0;124.0;124.0;;17;1714;171414
2026;5;Vila Real;Vila Real;Vila Real;LED;2995.0;2970.0;2994.0;159355.79999160767;17;1714;171438
